order_bk,carrier,tracking_number,shipped_date_sk,delivered_date_sk,is_delivered
1000000082,Correo Argentino,TRK-4U2I1W5ENR,631.0,634.0,1
1000000083,Correo Argentino,TRK-3QNYBMC06W,42.0,46.0,1
1000000084,Correo Argentino,TRK-LWD8M7AMND,331.0,334.0,1
1000000085,Correo Argentino,TRK-0RBFVTM6X4,427.0,429.0,1
1000000086,Correo Argentino,TRK-A169DTQM73,597.0,599.0,1
1000000087,Correo Argentino,,,,0
1000000088,Correo Argentino,TRK-TBUL818CS4,35.0,40.0,1
1000000089,Correo Argentino,TRK-BJOJ02WY0U,536.0,539.0,1
1000000090,Correo Argentino,TRK-E1JQQXF2A8,28.0,32.0,1
1000000091,Correo Argentino,TRK-9YZ6V1VTIX,49.0,51.0,1
1000000092,Correo Argentino,TRK-UO5Q5LF7GD,166.0,168.0,1
1000000093,PICKUP,,319.0,320.0,1
1000000094,PICKUP,,362.0,363.0,1
1000000095,Correo Argentino,TRK-RRS7KQI5WW,635.0,639.0,1
1000000096,PICKUP,,509.0,510.0,1
1000000097,PICKUP,,164.0,165.0,1
1000000098,Correo Argentino,TRK-N1XL8YRR4C,383.0,388.0,1
1000000099,Correo Argentino,TRK-HUON3QASLA,59.0,63.0,1
1000000100,Correo Argentino,,,,0
1000000101,Correo Argentino,TRK-BD9O45FG3M,91.0,96.0,1
1000000102,Correo Argentino,TRK-RBXP2IU4CP,325.0,329.0,1
1000000103,PICKUP,,85.0,86.0,1
1000000104,Correo Argentino,TRK-TPWY0TUZG2,84.0,88.0,1
1000000105,Correo Argentino,TRK-3BQ6FWSKLW,134.0,137.0,1
1000000106,Correo Argentino,TRK-6DCLEDO515,406.0,408.0,1
1000000107,Correo Argentino,TRK-RB1W0XWXVT,144.0,149.0,1
1000000108,PICKUP,,551.0,552.0,1
1000000109,PICKUP,,113.0,114.0,1
1000000110,PICKUP,,,,0
1000000111,Correo Argentino,TRK-UXV2O2QSZO,356.0,360.0,1
1000000112,PICKUP,,425.0,426.0,1
1000000113,PICKUP,,,,0
1000000114,PICKUP,,261.0,262.0,1
1000000115,Correo Argentino,TRK-9SFI30M85Y,51.0,53.0,1
1000000116,Correo Argentino,TRK-GCUU54HEAG,184.0,187.0,1
1000000117,Correo Argentino,TRK-YVM19QXR2C,386.0,389.0,1
1000000118,Correo Argentino,TRK-JRBNVL0OS3,595.0,597.0,1
1000000119,PICKUP,,563.0,564.0,1
1000000120,Correo Argentino,TRK-YMYMMHLK1B,110.0,112.0,1
1000000121,PICKUP,,355.0,356.0,1
1000000122,PICKUP,,608.0,609.0,1
1000000123,Correo Argentino,,,,0
1000000124,Correo Argentino,TRK-OUKA4E7YCS,38.0,42.0,1
1000000125,PICKUP,,191.0,192.0,1
1000000126,PICKUP,,164.0,165.0,1
1000000127,Correo Argentino,TRK-LP15TFTZWC,60.0,64.0,1
1000000128,Correo Argentino,,,,0
1000000129,Correo Argentino,TRK-OTE0Q32RV2,627.0,630.0,1
1000000130,PICKUP,,507.0,508.0,1
1000000131,PICKUP,,25.0,26.0,1
1000000132,Correo Argentino,TRK-ZK0XF0TEFY,209.0,214.0,1
1000000133,PICKUP,,166.0,167.0,1
1000000134,PICKUP,,6.0,7.0,1
1000000135,PICKUP,,151.0,152.0,1
1000000136,Correo Argentino,TRK-SB9FYY9V3Z,387.0,391.0,1
1000000137,Correo Argentino,TRK-8EM2BGA7SC,321.0,326.0,1
1000000138,Correo Argentino,TRK-W6GIOKOQS8,4.0,8.0,1
1000000139,Correo Argentino,TRK-Q8P6U5PS47,98.0,103.0,1
1000000140,PICKUP,,414.0,415.0,1
1000000141,PICKUP,,335.0,336.0,1
1000000142,Correo Argentino,TRK-AT0A573HXB,543.0,545.0,1
1000000143,PICKUP,,158.0,159.0,1
1000000144,PICKUP,,,,0
1000000145,Correo Argentino,TRK-5WJ0VSGHJU,567.0,571.0,1
1000000146,Correo Argentino,TRK-XNALT4U6O3,127.0,132.0,1
1000000147,Correo Argentino,TRK-TVS9QKJFPY,343.0,348.0,1
1000000148,Correo Argentino,TRK-IAC72SYOJT,539.0,542.0,1
1000000149,Correo Argentino,TRK-86P5XH4ZUZ,388.0,393.0,1
1000000150,PICKUP,,516.0,517.0,1
1000000151,PICKUP,,107.0,108.0,1
1000000152,PICKUP,,8.0,9.0,1
1000000153,PICKUP,,,,0
1000000154,PICKUP,,183.0,184.0,1
1000000155,Correo Argentino,TRK-MPCEM8ML7K,44.0,48.0,1
1000000156,PICKUP,,303.0,304.0,1
1000000157,PICKUP,,,,0
1000000158,PICKUP,,115.0,116.0,1
1000000159,Correo Argentino,TRK-7LRC6G1HAV,197.0,202.0,1
1000000160,PICKUP,,165.0,166.0,1
1000000161,Correo Argentino,TRK-ZU6O2A2X17,296.0,300.0,1
1000000162,PICKUP,,578.0,579.0,1
1000000163,Correo Argentino,TRK-U6UA2YY3HB,56.0,60.0,1
1000000164,Correo Argentino,TRK-TMG2PU2NU4,420.0,422.0,1
1000000165,Correo Argentino,TRK-D8V0DBNSG3,606.0,610.0,1
1000000166,Correo Argentino,TRK-TTEUGQV2X2,575.0,577.0,1
1000000167,Correo Argentino,,,,0
1000000168,Correo Argentino,,,,0
1000000169,Correo Argentino,TRK-NM8H174TJH,191.0,196.0,1
1000000170,PICKUP,,89.0,90.0,1
1000000171,Correo Argentino,TRK-GZTE0MZNMX,425.0,428.0,1
1000000172,Correo Argentino,TRK-DGOJGP2GBU,129.0,133.0,1
1000000173,Correo Argentino,TRK-VBAXIAQJKB,534.0,539.0,1
1000000174,PICKUP,,251.0,252.0,1
1000000175,Correo Argentino,TRK-WD62JC0VLK,153.0,156.0,1
1000000176,PICKUP,,422.0,423.0,1
1000000177,Correo Argentino,TRK-TSU2MSGQGV,329.0,332.0,1
1000000178,PICKUP,,489.0,490.0,1
1000000179,Correo Argentino,TRK-DOH59G5HG5,591.0,594.0,1
1000000180,Correo Argentino,TRK-WTK41NS6CW,143.0,145.0,1
1000000181,Correo Argentino,TRK-2HK5GYIMQ5,318.0,320.0,1
1000000182,Correo Argentino,TRK-3VO06V5F4C,253.0,260.0,1
1000000183,PICKUP,,300.0,301.0,1
1000000184,PICKUP,,497.0,498.0,1
1000000185,Correo Argentino,TRK-XVT3OPQZDN,201.0,206.0,1
1000000186,Correo Argentino,TRK-6LCGCSEFEL,213.0,215.0,1
1000000187,PICKUP,,409.0,410.0,1
1000000188,PICKUP,,601.0,602.0,1
1000000189,Correo Argentino,TRK-MZ7KO0QL4T,124.0,126.0,1
1000000190,Correo Argentino,TRK-X696GHSKZW,158.0,163.0,1
1000000191,Correo Argentino,,,,0
1000000192,PICKUP,,68.0,69.0,1
1000000193,Correo Argentino,TRK-N0C9SM2QFJ,47.0,50.0,1
1000000194,Correo Argentino,TRK-7MYF01NWQ1,623.0,628.0,1
1000000195,Correo Argentino,TRK-5950NTLRAC,426.0,430.0,1
1000000196,Correo Argentino,TRK-3RJ4BIOHK0,593.0,595.0,1
1000000197,Correo Argentino,TRK-M0DL4YCPUU,101.0,103.0,1
1000000198,Correo Argentino,TRK-XPU46U15UT,35.0,38.0,1
1000000199,Correo Argentino,TRK-O91D35I9X4,445.0,450.0,1
1000000200,Correo Argentino,TRK-LSZKZN0LYI,270.0,273.0,1
1000000201,Correo Argentino,TRK-WPOOZWRSXF,322.0,325.0,1
1000000202,PICKUP,,452.0,453.0,1
1000000203,PICKUP,,322.0,323.0,1
1000000204,Correo Argentino,,,,0
1000000205,Correo Argentino,TRK-Q495C57TPW,275.0,279.0,1
1000000206,Correo Argentino,TRK-YOZRB7EYB4,574.0,578.0,1
1000000207,Correo Argentino,TRK-MXL244VRBJ,494.0,496.0,1
1000000208,PICKUP,,467.0,468.0,1
1000000209,Correo Argentino,TRK-QS7JP1ILRI,460.0,462.0,1
1000000210,Correo Argentino,TRK-HMK0UFUCGU,446.0,448.0,1
1000000211,PICKUP,,566.0,567.0,1
1000000212,Correo Argentino,TRK-EI5CQOM3OQ,416.0,420.0,1
1000000213,Correo Argentino,TRK-JVXGL1QGOU,108.0,111.0,1
1000000214,Correo Argentino,TRK-3LP62TMLP0,202.0,204.0,1
1000000215,Correo Argentino,TRK-W5E1QML5MQ,30.0,34.0,1
1000000216,Correo Argentino,TRK-AYM9Q11ZOD,497.0,502.0,1
1000000217,PICKUP,,96.0,97.0,1
1000000218,Correo Argentino,TRK-CP4OTN8HPB,187.0,191.0,1
1000000219,PICKUP,,164.0,165.0,1
1000000220,Correo Argentino,TRK-C1TLW78F6M,631.0,635.0,1
1000000221,PICKUP,,493.0,494.0,1
1000000222,PICKUP,,243.0,244.0,1
1000000223,PICKUP,,359.0,360.0,1
1000000224,Correo Argentino,TRK-E3PPMBLC09,448.0,450.0,1
1000000225,Correo Argentino,TRK-JVVF010AIA,584.0,588.0,1
1000000226,Correo Argentino,TRK-JJUIDCE74A,199.0,204.0,1
1000000227,Correo Argentino,TRK-GSHXM42YVK,200.0,202.0,1
1000000228,Correo Argentino,TRK-INJV5S1HHW,453.0,457.0,1
1000000229,PICKUP,,,,0
1000000230,Correo Argentino,TRK-9MRQVD7X1J,365.0,370.0,1
1000000231,Correo Argentino,TRK-YP7VNSGOLC,161.0,163.0,1
1000000232,Correo Argentino,TRK-DZYUMNQIZK,419.0,423.0,1
1000000233,Correo Argentino,TRK-BP8B1VFO0G,325.0,327.0,1
1000000234,Correo Argentino,TRK-4Z78IY664L,515.0,520.0,1
1000000235,PICKUP,,,,0
1000000236,PICKUP,,370.0,371.0,1
1000000237,PICKUP,,319.0,320.0,1
1000000238,PICKUP,,447.0,448.0,1
1000000239,Correo Argentino,TRK-6QXN6I8BLI,52.0,57.0,1
1000000240,Correo Argentino,TRK-X7LOFOLANG,295.0,300.0,1
1000000241,PICKUP,,285.0,286.0,1
1000000242,Correo Argentino,,,,0
1000000243,Correo Argentino,TRK-36SR7I0SAS,526.0,530.0,1
1000000244,PICKUP,,257.0,258.0,1
1000000245,PICKUP,,494.0,495.0,1
1000000246,Correo Argentino,,,,0
1000000247,Correo Argentino,TRK-F075G514A9,338.0,343.0,1
1000000248,PICKUP,,300.0,301.0,1
1000000249,PICKUP,,110.0,111.0,1
1000000250,Correo Argentino,TRK-PUN6EN1KQ1,266.0,270.0,1
1000000251,PICKUP,,75.0,76.0,1
1000000252,PICKUP,,62.0,63.0,1
1000000253,Correo Argentino,TRK-TSK3A0YQ6W,480.0,485.0,1
1000000254,PICKUP,,287.0,288.0,1
1000000255,Correo Argentino,TRK-8BWQRUEYS2,227.0,231.0,1
1000000256,Correo Argentino,TRK-RVD511UODZ,276.0,280.0,1
1000000257,PICKUP,,516.0,517.0,1
1000000258,Correo Argentino,TRK-KXPDA6C6W5,362.0,364.0,1
1000000259,Correo Argentino,TRK-20HMH74UZ5,614.0,617.0,1
1000000260,Correo Argentino,TRK-XYI1O46MZJ,348.0,351.0,1
1000000261,Correo Argentino,TRK-D0N515YRWY,593.0,595.0,1
1000000262,Correo Argentino,TRK-97AXUHZD9O,324.0,329.0,1
1000000263,Correo Argentino,TRK-FYNETUY56H,367.0,370.0,1
1000000264,PICKUP,,597.0,598.0,1
1000000265,Correo Argentino,TRK-2JRCHT1TPG,119.0,124.0,1
1000000266,Correo Argentino,TRK-VA6AR1AR6U,494.0,496.0,1
1000000267,Correo Argentino,TRK-QI2WJJ807C,61.0,65.0,1
1000000268,Correo Argentino,,,,0
1000000269,Correo Argentino,,,,0
1000000270,PICKUP,,47.0,48.0,1
1000000271,Correo Argentino,TRK-9Q7IVQHXSI,44.0,49.0,1
1000000272,Correo Argentino,TRK-WZYFMQFKIL,300.0,305.0,1
1000000273,Correo Argentino,TRK-N0MWFS58BQ,62.0,64.0,1
1000000274,PICKUP,,272.0,273.0,1
1000000275,Correo Argentino,TRK-UQI62K3L0W,174.0,178.0,1
1000000276,PICKUP,,512.0,513.0,1
1000000277,PICKUP,,288.0,289.0,1
1000000278,Correo Argentino,TRK-KFFN16DB0I,430.0,435.0,1
1000000279,Correo Argentino,,,,0
1000000280,PICKUP,,202.0,203.0,1
1000000281,Correo Argentino,TRK-72W7RNTWXW,437.0,441.0,1
1000000282,Correo Argentino,TRK-V20K9JX42E,364.0,367.0,1
1000000283,Correo Argentino,TRK-AGYGGFMNUF,569.0,573.0,1
1000000284,PICKUP,,69.0,70.0,1
1000000285,Correo Argentino,,,,0
1000000286,Correo Argentino,TRK-2HRWR931OS,194.0,197.0,1
1000000287,PICKUP,,534.0,535.0,1
1000000288,PICKUP,,398.0,399.0,1
1000000289,Correo Argentino,,,,0
1000000290,Correo Argentino,TRK-OZ5CUWXG8T,310.0,314.0,1
1000000291,Correo Argentino,TRK-40OOBAGXKK,292.0,298.0,1
1000000292,PICKUP,,485.0,486.0,1
1000000293,Correo Argentino,TRK-TTMA008WBG,600.0,604.0,1
1000000294,Correo Argentino,,,,0
1000000295,PICKUP,,452.0,453.0,1
1000000296,PICKUP,,180.0,181.0,1
1000000297,PICKUP,,589.0,590.0,1
1000000298,PICKUP,,309.0,310.0,1
1000000299,PICKUP,,127.0,128.0,1
1000000300,Correo Argentino,TRK-H5EYQT4XS3,325.0,327.0,1
1000000301,Correo Argentino,TRK-KX9CE5R5X7,128.0,133.0,1
1000000302,Correo Argentino,,,,0
1000000303,PICKUP,,76.0,77.0,1
1000000304,Correo Argentino,TRK-WR4IJI934Q,76.0,80.0,1
1000000305,Correo Argentino,TRK-GA0XMVRUST,470.0,474.0,1
1000000306,Correo Argentino,TRK-83QUV5F3FI,121.0,124.0,1
1000000307,Correo Argentino,TRK-5G2YLFVGPI,257.0,262.0,1
1000000308,Correo Argentino,TRK-OYGHVQIZD8,88.0,91.0,1
1000000309,PICKUP,,,,0
1000000310,Correo Argentino,TRK-71ZKV4IASM,371.0,373.0,1
1000000311,PICKUP,,373.0,374.0,1
1000000312,PICKUP,,420.0,421.0,1
1000000313,PICKUP,,505.0,506.0,1
1000000314,Correo Argentino,TRK-R04JCRW9A8,290.0,293.0,1
1000000315,Correo Argentino,TRK-UVM6N6PWE3,492.0,495.0,1
1000000316,PICKUP,,483.0,484.0,1
1000000317,Correo Argentino,TRK-5C5MWBWACJ,230.0,234.0,1
1000000318,PICKUP,,280.0,281.0,1
1000000319,Correo Argentino,TRK-MA57CRCPJ8,112.0,114.0,1
1000000320,Correo Argentino,TRK-DXIS15425W,597.0,601.0,1
1000000321,Correo Argentino,TRK-XK02RA81RX,581.0,584.0,1
1000000322,PICKUP,,325.0,326.0,1
1000000323,PICKUP,,457.0,458.0,1
1000000324,PICKUP,,377.0,378.0,1
1000000325,PICKUP,,288.0,289.0,1
1000000326,Correo Argentino,TRK-P5JG6V39HM,169.0,174.0,1
1000000327,Correo Argentino,TRK-MDVMWTRSHR,376.0,379.0,1
1000000328,Correo Argentino,TRK-PJI9TT96J6,408.0,412.0,1
1000000329,Correo Argentino,TRK-TKIZIWWL0A,76.0,79.0,1
1000000330,PICKUP,,349.0,350.0,1
1000000331,Correo Argentino,TRK-4K0RCSFKJZ,360.0,363.0,1
1000000332,Correo Argentino,TRK-8DHCBZCXQU,627.0,630.0,1
1000000333,Correo Argentino,,,,0
1000000334,Correo Argentino,TRK-ITBJQCU49B,494.0,498.0,1
1000000335,Correo Argentino,TRK-OJCVJ0S121,42.0,46.0,1
1000000336,Correo Argentino,TRK-0W710RWTCM,202.0,206.0,1
1000000337,Correo Argentino,TRK-PCJPUF7VXQ,257.0,259.0,1
1000000338,Correo Argentino,TRK-PRYVF3TIVE,83.0,85.0,1
1000000339,Correo Argentino,,,,0
1000000340,Correo Argentino,TRK-4TFRX245GB,219.0,221.0,1
1000000341,PICKUP,,356.0,357.0,1
1000000342,Correo Argentino,TRK-3TH5619XPL,281.0,285.0,1
1000000343,Correo Argentino,TRK-W803CQEXUF,225.0,227.0,1
1000000344,Correo Argentino,TRK-PMIAY8MLNC,206.0,208.0,1
1000000345,Correo Argentino,TRK-90NLU6H2FO,123.0,125.0,1
1000000346,PICKUP,,437.0,438.0,1
1000000347,Correo Argentino,TRK-N1V96NIX9T,232.0,234.0,1
1000000348,PICKUP,,320.0,321.0,1
1000000349,Correo Argentino,TRK-H5BQD2UGQB,243.0,246.0,1
1000000350,PICKUP,,78.0,79.0,1
1000000351,PICKUP,,124.0,125.0,1
1000000352,Correo Argentino,TRK-CDC9YPP0KL,414.0,419.0,1
1000000353,PICKUP,,494.0,495.0,1
1000000354,Correo Argentino,TRK-OET37PJ6JA,496.0,501.0,1
1000000355,Correo Argentino,TRK-WBXD9JIFZ7,345.0,350.0,1
1000000356,Correo Argentino,TRK-R7Z3UORWAO,523.0,526.0,1
1000000357,Correo Argentino,TRK-4E0RK1Y2AX,61.0,65.0,1
1000000358,Correo Argentino,TRK-3DYJXM8OG9,556.0,558.0,1
1000000359,PICKUP,,191.0,192.0,1
1000000360,PICKUP,,267.0,268.0,1
1000000361,Correo Argentino,TRK-XKUAQ6XCBU,386.0,389.0,1
1000000362,Correo Argentino,TRK-130IYMN8X9,228.0,232.0,1
1000000363,Correo Argentino,TRK-CDCOWDXCJ1,160.0,163.0,1
1000000364,PICKUP,,596.0,597.0,1
1000000365,Correo Argentino,TRK-QZUSOFVD2M,599.0,603.0,1
1000000366,Correo Argentino,TRK-04NWF222GT,563.0,568.0,1
1000000367,Correo Argentino,TRK-0QU3G58K4N,476.0,479.0,1
1000000368,Correo Argentino,,,,0
1000000369,PICKUP,,346.0,347.0,1
1000000370,PICKUP,,596.0,597.0,1
1000000371,Correo Argentino,TRK-QPX17NQGFX,16.0,20.0,1
1000000372,Correo Argentino,TRK-L15FV8ZC6P,235.0,237.0,1
1000000373,Correo Argentino,TRK-V9OB7NBQW3,50.0,52.0,1
1000000374,PICKUP,,470.0,471.0,1
1000000375,Correo Argentino,TRK-JT6GK3LV32,542.0,544.0,1
1000000376,PICKUP,,350.0,351.0,1
1000000377,PICKUP,,215.0,216.0,1
1000000378,Correo Argentino,TRK-B8MS9TKYJX,615.0,620.0,1
1000000379,Correo Argentino,TRK-V457GNVBA4,533.0,539.0,1
1000000380,PICKUP,,165.0,166.0,1
1000000381,Correo Argentino,TRK-ZDHM025LPT,505.0,509.0,1
1000000382,Correo Argentino,TRK-5FX580NSNT,174.0,179.0,1
1000000383,PICKUP,,325.0,326.0,1
1000000384,Correo Argentino,TRK-Q041R1JKEW,526.0,530.0,1
1000000385,PICKUP,,132.0,133.0,1
1000000386,PICKUP,,297.0,298.0,1
1000000387,Correo Argentino,TRK-SSMUSJ1H3E,453.0,458.0,1
1000000388,Correo Argentino,TRK-U8CS0KFD86,156.0,158.0,1
1000000389,Correo Argentino,TRK-H4EM5GOTUA,125.0,130.0,1
1000000390,Correo Argentino,TRK-NN5IO7R6FW,77.0,81.0,1
1000000391,Correo Argentino,TRK-38DHEVPB5V,39.0,41.0,1
1000000392,PICKUP,,228.0,229.0,1
1000000393,PICKUP,,80.0,81.0,1
1000000394,Correo Argentino,TRK-O6RMAO5XXY,579.0,582.0,1
1000000395,PICKUP,,153.0,154.0,1
1000000396,Correo Argentino,TRK-VHWB2ASFLX,228.0,231.0,1
1000000397,Correo Argentino,TRK-7RJBN9QB1J,553.0,557.0,1
1000000398,Correo Argentino,TRK-6T7CYX97I9,90.0,94.0,1
1000000399,PICKUP,,277.0,278.0,1
1000000400,PICKUP,,438.0,439.0,1
1000000401,PICKUP,,541.0,542.0,1
1000000402,Correo Argentino,TRK-U9LOL3D7CI,355.0,357.0,1
1000000403,Correo Argentino,TRK-TC8SJKG4RE,350.0,353.0,1
1000000404,Correo Argentino,TRK-VOIWATX5JT,438.0,442.0,1
1000000405,Correo Argentino,TRK-1PHJHDDQEF,233.0,236.0,1
1000000406,PICKUP,,238.0,239.0,1
1000000407,Correo Argentino,,,,0
1000000408,Correo Argentino,TRK-PWVT6U7916,318.0,321.0,1
1000000409,PICKUP,,,,0
1000000410,Correo Argentino,TRK-JP95F9HPKQ,568.0,570.0,1
1000000411,Correo Argentino,TRK-KZVJH5OZYR,314.0,319.0,1
1000000412,PICKUP,,324.0,325.0,1
1000000413,PICKUP,,,,0
1000000414,Correo Argentino,TRK-L4AO4WV7AR,499.0,504.0,1
1000000415,PICKUP,,486.0,487.0,1
1000000416,PICKUP,,,,0
1000000417,PICKUP,,90.0,91.0,1
1000000418,Correo Argentino,TRK-S1SBDXG97S,180.0,182.0,1
1000000419,Correo Argentino,TRK-MN41R7CX7M,83.0,86.0,1
1000000420,PICKUP,,344.0,345.0,1
1000000421,Correo Argentino,TRK-4VUVA1SI69,245.0,250.0,1
1000000422,Correo Argentino,TRK-V7NAQGU5IO,420.0,423.0,1
1000000423,PICKUP,,526.0,527.0,1
1000000424,Correo Argentino,TRK-KVON3UQ1IK,192.0,197.0,1
1000000425,PICKUP,,635.0,636.0,1
1000000426,Correo Argentino,TRK-QS9D3R3040,193.0,196.0,1
1000000427,Correo Argentino,TRK-5YWNFJ9N6N,189.0,194.0,1
1000000428,Correo Argentino,,,,0
1000000429,PICKUP,,468.0,469.0,1
1000000430,Correo Argentino,TRK-WXXDW2MVHP,395.0,402.0,1
1000000431,Correo Argentino,TRK-YU4IJ0W80F,616.0,620.0,1
1000000432,Correo Argentino,TRK-8SMQP72T4Y,21.0,23.0,1
1000000433,Correo Argentino,TRK-6Q73SMQL2T,376.0,379.0,1
1000000434,Correo Argentino,TRK-IDR6X0ACCH,104.0,109.0,1
1000000435,Correo Argentino,TRK-AA0C5HDFUB,141.0,144.0,1
1000000436,PICKUP,,230.0,231.0,1
1000000437,Correo Argentino,TRK-JWY0TN1QAI,307.0,312.0,1
1000000438,PICKUP,,489.0,490.0,1
1000000439,Correo Argentino,TRK-MD4F9HG3SD,5.0,8.0,1
1000000440,PICKUP,,302.0,303.0,1
1000000441,Correo Argentino,TRK-P0LK5MVLTM,79.0,83.0,1
1000000442,PICKUP,,145.0,146.0,1
1000000443,PICKUP,,,,0
1000000444,Correo Argentino,TRK-Z0OX2G8UC7,383.0,387.0,1
1000000445,PICKUP,,205.0,206.0,1
1000000446,Correo Argentino,TRK-P6I5GSE146,227.0,230.0,1
1000000447,Correo Argentino,TRK-WKJQZ4AA3P,314.0,317.0,1
1000000448,PICKUP,,377.0,378.0,1
1000000449,Correo Argentino,TRK-SK9ZYEREPR,94.0,98.0,1
1000000450,Correo Argentino,TRK-V1L0BZIPL3,251.0,253.0,1
1000000451,PICKUP,,101.0,102.0,1
1000000452,Correo Argentino,TRK-NC4Z99CA26,426.0,428.0,1
1000000453,Correo Argentino,TRK-107M4SQ86X,106.0,109.0,1
1000000454,Correo Argentino,TRK-QLXXGV6W0D,510.0,515.0,1
1000000455,Correo Argentino,,,,0
