location_sk,address_bk,city,province_name,province_code,postal_code,country_code
96,1092,Río Cuarto,Córdoba,CBA,8404,AR
97,1093,Mar del Plata,Buenos Aires,BA,1272,AR
98,1094,Rafaela,Santa Fe,SF,8938,AR
99,1095,Córdoba,Córdoba,CBA,7305,AR
100,1096,Río Cuarto,Córdoba,CBA,3094,AR
101,1097,Santa Fe,Santa Fe,SF,2895,AR
102,1098,Córdoba,Córdoba,CBA,2728,AR
103,1099,Mendoza,Mendoza,MZA,4610,AR
104,1100,Río Cuarto,Córdoba,CBA,2481,AR
105,1101,Rafaela,Santa Fe,SF,7176,AR
106,1102,Río Cuarto,Córdoba,CBA,2895,AR
107,1103,CABA,Buenos Aires,BA,2902,AR
108,1104,La Plata,Buenos Aires,BA,6092,AR
109,1105,Córdoba,Córdoba,CBA,3069,AR
110,1106,Río Cuarto,Córdoba,CBA,9819,AR
111,1107,La Plata,Buenos Aires,BA,3415,AR
112,1108,Mar del Plata,Buenos Aires,BA,9230,AR
113,1109,Mar del Plata,Buenos Aires,BA,9110,AR
114,1110,Villa Carlos Paz,Córdoba,CBA,4687,AR
115,1111,Mendoza,Mendoza,MZA,3608,AR
116,1112,La Plata,Buenos Aires,BA,7412,AR
117,1113,Mar del Plata,Buenos Aires,BA,9978,AR
118,1114,La Plata,Buenos Aires,BA,8496,AR
119,1115,Villa Carlos Paz,Córdoba,CBA,4573,AR
120,1116,Córdoba,Córdoba,CBA,3418,AR
121,1117,Godoy Cruz,Mendoza,MZA,8763,AR
122,1118,Mendoza,Mendoza,MZA,3434,AR
123,1119,CABA,Buenos Aires,BA,3826,AR
124,1120,Rafaela,Santa Fe,SF,5509,AR
125,1121,CABA,Buenos Aires,BA,9351,AR
126,1122,Mar del Plata,Buenos Aires,BA,3967,AR
127,1123,Mar del Plata,Buenos Aires,BA,2629,AR
128,1124,Mar del Plata,Buenos Aires,BA,7451,AR
129,1125,Rafaela,Santa Fe,SF,4399,AR
130,1126,Mar del Plata,Buenos Aires,BA,6149,AR
131,1127,Mar del Plata,Buenos Aires,BA,5206,AR
132,1128,CABA,Buenos Aires,BA,7931,AR
133,1129,CABA,Buenos Aires,BA,3291,AR
134,1130,Río Cuarto,Córdoba,CBA,2622,AR
135,1131,CABA,Buenos Aires,BA,4539,AR
136,1132,Mar del Plata,Buenos Aires,BA,5270,AR
137,1133,Córdoba,Córdoba,CBA,7968,AR
138,1134,CABA,Buenos Aires,BA,7097,AR
139,1135,Río Cuarto,Córdoba,CBA,6183,AR
140,1136,Mar del Plata,Buenos Aires,BA,9707,AR
141,1137,Villa Carlos Paz,Córdoba,CBA,6944,AR
142,1138,Rosario,Santa Fe,SF,7179,AR
143,1139,CABA,Buenos Aires,BA,9021,AR
144,1140,Mar del Plata,Buenos Aires,BA,2623,AR
145,1141,La Plata,Buenos Aires,BA,8812,AR
146,1142,Mar del Plata,Buenos Aires,BA,3337,AR
147,1143,Villa Carlos Paz,Córdoba,CBA,5081,AR
148,1144,Córdoba,Córdoba,CBA,5519,AR
149,1145,Mar del Plata,Buenos Aires,BA,6007,AR
150,1146,Rosario,Santa Fe,SF,2534,AR
151,1147,Córdoba,Córdoba,CBA,7946,AR
152,1148,Mendoza,Mendoza,MZA,7643,AR
153,1149,Río Cuarto,Córdoba,CBA,5001,AR
154,1150,Córdoba,Córdoba,CBA,3864,AR
155,1151,CABA,Buenos Aires,BA,9118,AR
156,1152,CABA,Buenos Aires,BA,5752,AR
157,1153,La Plata,Buenos Aires,BA,4562,AR
158,1154,San Rafael,Mendoza,MZA,1942,AR
159,1155,La Plata,Buenos Aires,BA,1084,AR
160,1156,Rosario,Santa Fe,SF,8058,AR
161,1157,Mar del Plata,Buenos Aires,BA,8985,AR
162,1158,Mar del Plata,Buenos Aires,BA,7132,AR
163,1159,CABA,Buenos Aires,BA,8198,AR
164,1160,Mar del Plata,Buenos Aires,BA,2813,AR
165,1161,CABA,Buenos Aires,BA,1517,AR
166,1162,Villa Carlos Paz,Córdoba,CBA,9119,AR
167,1163,La Plata,Buenos Aires,BA,3153,AR
168,1164,Mendoza,Mendoza,MZA,4874,AR
169,1165,Villa Carlos Paz,Córdoba,CBA,8116,AR
170,1166,La Plata,Buenos Aires,BA,9376,AR
171,1167,CABA,Buenos Aires,BA,4250,AR
172,1168,Córdoba,Córdoba,CBA,3436,AR
173,1169,La Plata,Buenos Aires,BA,7984,AR
174,1170,Córdoba,Córdoba,CBA,4791,AR
175,1171,La Plata,Buenos Aires,BA,5985,AR
176,1172,La Plata,Buenos Aires,BA,6240,AR
177,1173,CABA,Buenos Aires,BA,4473,AR
178,1174,Mar del Plata,Buenos Aires,BA,9049,AR
179,1175,CABA,Buenos Aires,BA,6426,AR
180,1176,Villa Carlos Paz,Córdoba,CBA,4903,AR
181,1177,La Plata,Buenos Aires,BA,1672,AR
182,1178,La Plata,Buenos Aires,BA,5939,AR
183,1179,Mendoza,Mendoza,MZA,3094,AR
184,1180,Mar del Plata,Buenos Aires,BA,8347,AR
185,1181,Mendoza,Mendoza,MZA,3735,AR
186,1182,Córdoba,Córdoba,CBA,4116,AR
187,1183,Mar del Plata,Buenos Aires,BA,9344,AR
188,1184,Villa Carlos Paz,Córdoba,CBA,4015,AR
189,1185,CABA,Buenos Aires,BA,9254,AR
190,1186,CABA,Buenos Aires,BA,3803,AR
191,1187,CABA,Buenos Aires,BA,5550,AR
192,1188,CABA,Buenos Aires,BA,1022,AR
193,1189,Villa Carlos Paz,Córdoba,CBA,3189,AR
194,1190,Santa Fe,Santa Fe,SF,6824,AR
195,1191,Villa Carlos Paz,Córdoba,CBA,7258,AR
196,1192,Rafaela,Santa Fe,SF,4614,AR
197,1193,Mar del Plata,Buenos Aires,BA,8109,AR
198,1194,La Plata,Buenos Aires,BA,4031,AR
199,1195,La Plata,Buenos Aires,BA,6081,AR
200,1196,Santa Fe,Santa Fe,SF,2180,AR
201,1197,Mar del Plata,Buenos Aires,BA,1193,AR
202,1198,CABA,Buenos Aires,BA,3165,AR
203,1199,Santa Fe,Santa Fe,SF,1153,AR
204,1200,La Plata,Buenos Aires,BA,8279,AR
205,1201,La Plata,Buenos Aires,BA,9906,AR
206,1202,CABA,Buenos Aires,BA,9381,AR
207,1203,CABA,Buenos Aires,BA,3414,AR
208,1204,Córdoba,Córdoba,CBA,9057,AR
209,1205,Mendoza,Mendoza,MZA,6467,AR
210,1206,CABA,Buenos Aires,BA,8022,AR
211,1207,CABA,Buenos Aires,BA,5702,AR
212,1208,Santa Fe,Santa Fe,SF,2251,AR
213,1209,Rosario,Santa Fe,SF,8318,AR
214,1210,Rosario,Santa Fe,SF,3370,AR
215,1211,CABA,Buenos Aires,BA,9097,AR
216,1212,La Plata,Buenos Aires,BA,5028,AR
217,1213,La Plata,Buenos Aires,BA,7301,AR
218,1214,Villa Carlos Paz,Córdoba,CBA,2429,AR
219,1215,CABA,Buenos Aires,BA,3188,AR
220,1216,La Plata,Buenos Aires,BA,3361,AR
221,1217,Godoy Cruz,Mendoza,MZA,3257,AR
222,1218,San Rafael,Mendoza,MZA,7958,AR
223,1219,CABA,Buenos Aires,BA,1494,AR
224,1220,CABA,Buenos Aires,BA,3452,AR
225,1221,CABA,Buenos Aires,BA,7742,AR
226,1222,Mar del Plata,Buenos Aires,BA,1983,AR
227,1223,Córdoba,Córdoba,CBA,7940,AR
228,1224,Villa Carlos Paz,Córdoba,CBA,7941,AR
229,1225,CABA,Buenos Aires,BA,7560,AR
230,1226,CABA,Buenos Aires,BA,8821,AR
231,1227,Villa Carlos Paz,Córdoba,CBA,7950,AR
232,1228,CABA,Buenos Aires,BA,1459,AR
233,1229,Mar del Plata,Buenos Aires,BA,6064,AR
234,1230,Río Cuarto,Córdoba,CBA,1735,AR
235,1231,Godoy Cruz,Mendoza,MZA,6056,AR
236,1232,Godoy Cruz,Mendoza,MZA,7400,AR
237,1233,San Rafael,Mendoza,MZA,9227,AR
238,1234,La Plata,Buenos Aires,BA,3641,AR
239,1235,Córdoba,Córdoba,CBA,3307,AR
240,1236,San Rafael,Mendoza,MZA,8331,AR
241,1237,La Plata,Buenos Aires,BA,4917,AR
242,1238,San Rafael,Mendoza,MZA,2595,AR
243,1239,La Plata,Buenos Aires,BA,8451,AR
244,1240,La Plata,Buenos Aires,BA,6789,AR
245,1241,Mar del Plata,Buenos Aires,BA,8242,AR
246,1242,San Rafael,Mendoza,MZA,7568,AR
247,1243,Rafaela,Santa Fe,SF,7122,AR
248,1244,Río Cuarto,Córdoba,CBA,1934,AR
249,1245,Río Cuarto,Córdoba,CBA,7157,AR
250,1246,Córdoba,Córdoba,CBA,6716,AR
251,1247,Mar del Plata,Buenos Aires,BA,2775,AR
252,1248,Rosario,Santa Fe,SF,6610,AR
253,1249,Mar del Plata,Buenos Aires,BA,1627,AR
254,1250,La Plata,Buenos Aires,BA,1513,AR
255,1251,La Plata,Buenos Aires,BA,4465,AR
256,1252,San Rafael,Mendoza,MZA,2369,AR
257,1253,La Plata,Buenos Aires,BA,7876,AR
258,1254,La Plata,Buenos Aires,BA,6603,AR
259,1255,La Plata,Buenos Aires,BA,8156,AR
260,1256,San Rafael,Mendoza,MZA,2274,AR
261,1257,Mar del Plata,Buenos Aires,BA,3416,AR
262,1258,Rosario,Santa Fe,SF,8381,AR
263,1259,Río Cuarto,Córdoba,CBA,4074,AR
264,1260,Córdoba,Córdoba,CBA,4436,AR
265,1261,San Rafael,Mendoza,MZA,5947,AR
266,1262,CABA,Buenos Aires,BA,7723,AR
267,1263,Mar del Plata,Buenos Aires,BA,3880,AR
268,1264,CABA,Buenos Aires,BA,7251,AR
269,1265,Rafaela,Santa Fe,SF,2435,AR
270,1266,CABA,Buenos Aires,BA,8276,AR
271,1267,Córdoba,Córdoba,CBA,8448,AR
272,1268,CABA,Buenos Aires,BA,7765,AR
273,1269,La Plata,Buenos Aires,BA,5333,AR
274,1270,Santa Fe,Santa Fe,SF,1254,AR
275,1271,La Plata,Buenos Aires,BA,6490,AR
276,1272,Godoy Cruz,Mendoza,MZA,7444,AR
277,1273,Rafaela,Santa Fe,SF,3846,AR
278,1274,San Rafael,Mendoza,MZA,3069,AR
279,1275,Mar del Plata,Buenos Aires,BA,6282,AR
280,1276,CABA,Buenos Aires,BA,1455,AR
281,1277,Mendoza,Mendoza,MZA,8433,AR
282,1278,Mar del Plata,Buenos Aires,BA,7194,AR
283,1279,Villa Carlos Paz,Córdoba,CBA,2694,AR
284,1280,Mar del Plata,Buenos Aires,BA,5292,AR
285,1281,La Plata,Buenos Aires,BA,9045,AR
286,1282,La Plata,Buenos Aires,BA,7148,AR
287,1283,Villa Carlos Paz,Córdoba,CBA,3927,AR
288,1284,La Plata,Buenos Aires,BA,3595,AR
289,1285,Córdoba,Córdoba,CBA,9486,AR
290,1286,Rosario,Santa Fe,SF,6366,AR
291,1287,Mar del Plata,Buenos Aires,BA,4264,AR
292,1288,Mar del Plata,Buenos Aires,BA,8144,AR
293,1289,Mendoza,Mendoza,MZA,7436,AR
294,1290,Río Cuarto,Córdoba,CBA,8101,AR
295,1291,Mar del Plata,Buenos Aires,BA,7275,AR
296,1292,La Plata,Buenos Aires,BA,3740,AR
297,1293,Godoy Cruz,Mendoza,MZA,7525,AR
298,1294,La Plata,Buenos Aires,BA,2190,AR
299,1295,Villa Carlos Paz,Córdoba,CBA,6219,AR
300,1296,Córdoba,Córdoba,CBA,2085,AR
301,1297,CABA,Buenos Aires,BA,2225,AR
302,1298,Villa Carlos Paz,Córdoba,CBA,1813,AR
303,1299,La Plata,Buenos Aires,BA,3803,AR
304,1300,Córdoba,Córdoba,CBA,1076,AR
305,1301,La Plata,Buenos Aires,BA,6527,AR
306,1302,CABA,Buenos Aires,BA,6196,AR
307,1303,Mar del Plata,Buenos Aires,BA,7444,AR
308,1304,Villa Carlos Paz,Córdoba,CBA,2683,AR
309,1305,CABA,Buenos Aires,BA,4708,AR
310,1306,Mar del Plata,Buenos Aires,BA,5254,AR
311,1307,La Plata,Buenos Aires,BA,5422,AR
312,1308,San Rafael,Mendoza,MZA,3424,AR
313,1309,Río Cuarto,Córdoba,CBA,8830,AR
314,1310,Godoy Cruz,Mendoza,MZA,5853,AR
315,1311,CABA,Buenos Aires,BA,9103,AR
316,1312,Mar del Plata,Buenos Aires,BA,8989,AR
317,1313,Mar del Plata,Buenos Aires,BA,8438,AR
318,1314,Rosario,Santa Fe,SF,8412,AR
319,1315,La Plata,Buenos Aires,BA,3690,AR
320,1316,San Rafael,Mendoza,MZA,2805,AR
321,1317,La Plata,Buenos Aires,BA,9698,AR
322,1318,CABA,Buenos Aires,BA,4474,AR
323,1319,La Plata,Buenos Aires,BA,5466,AR
324,1320,Mar del Plata,Buenos Aires,BA,5816,AR
325,1321,Mar del Plata,Buenos Aires,BA,9497,AR
326,1322,CABA,Buenos Aires,BA,1870,AR
327,1323,Córdoba,Córdoba,CBA,4710,AR
328,1324,CABA,Buenos Aires,BA,9112,AR
329,1325,CABA,Buenos Aires,BA,1050,AR
330,1326,Mar del Plata,Buenos Aires,BA,3789,AR
331,1327,Córdoba,Córdoba,CBA,1208,AR
332,1328,CABA,Buenos Aires,BA,1159,AR
333,1329,San Rafael,Mendoza,MZA,2792,AR
334,1330,Rafaela,Santa Fe,SF,3401,AR
335,1331,Mar del Plata,Buenos Aires,BA,9940,AR
336,1332,Villa Carlos Paz,Córdoba,CBA,5933,AR
337,1333,Rafaela,Santa Fe,SF,9508,AR
338,1334,La Plata,Buenos Aires,BA,9156,AR
339,1335,Mar del Plata,Buenos Aires,BA,4175,AR
340,1336,Villa Carlos Paz,Córdoba,CBA,5346,AR
341,1337,Santa Fe,Santa Fe,SF,4122,AR
342,1338,Río Cuarto,Córdoba,CBA,8455,AR
343,1339,CABA,Buenos Aires,BA,3461,AR
344,1340,San Rafael,Mendoza,MZA,8976,AR
345,1341,La Plata,Buenos Aires,BA,5636,AR
346,1342,La Plata,Buenos Aires,BA,1817,AR
347,1343,La Plata,Buenos Aires,BA,2409,AR
348,1344,Mar del Plata,Buenos Aires,BA,5764,AR
349,1345,La Plata,Buenos Aires,BA,7923,AR
350,1346,Mendoza,Mendoza,MZA,3839,AR
351,1347,La Plata,Buenos Aires,BA,5096,AR
352,1348,CABA,Buenos Aires,BA,8555,AR
353,1349,La Plata,Buenos Aires,BA,6132,AR
354,1350,San Rafael,Mendoza,MZA,8643,AR
355,1351,Godoy Cruz,Mendoza,MZA,2448,AR
356,1352,Villa Carlos Paz,Córdoba,CBA,3085,AR
357,1353,Santa Fe,Santa Fe,SF,1097,AR
358,1354,Rafaela,Santa Fe,SF,5426,AR
359,1355,CABA,Buenos Aires,BA,1997,AR
360,1356,Río Cuarto,Córdoba,CBA,4359,AR
361,1357,Mar del Plata,Buenos Aires,BA,5929,AR
362,1358,Córdoba,Córdoba,CBA,2879,AR
363,1359,Mar del Plata,Buenos Aires,BA,4347,AR
364,1360,Mar del Plata,Buenos Aires,BA,5913,AR
365,1361,CABA,Buenos Aires,BA,3018,AR
366,1362,CABA,Buenos Aires,BA,3797,AR
367,1363,Río Cuarto,Córdoba,CBA,5742,AR
368,1364,Godoy Cruz,Mendoza,MZA,7321,AR
369,1365,La Plata,Buenos Aires,BA,2968,AR
370,1366,Mar del Plata,Buenos Aires,BA,1698,AR
371,1367,Godoy Cruz,Mendoza,MZA,6861,AR
372,1368,Rafaela,Santa Fe,SF,9405,AR
373,1369,CABA,Buenos Aires,BA,8528,AR
374,1370,Mar del Plata,Buenos Aires,BA,7168,AR
375,1371,Córdoba,Córdoba,CBA,3120,AR
376,1372,Río Cuarto,Córdoba,CBA,2107,AR
377,1373,Mar del Plata,Buenos Aires,BA,9182,AR
378,1374,CABA,Buenos Aires,BA,7882,AR
379,1375,La Plata,Buenos Aires,BA,8234,AR
380,1376,Córdoba,Córdoba,CBA,7187,AR
381,1377,San Rafael,Mendoza,MZA,9046,AR
382,1378,Córdoba,Córdoba,CBA,9659,AR
383,1379,CABA,Buenos Aires,BA,1085,AR
384,1380,Rafaela,Santa Fe,SF,9653,AR
385,1381,CABA,Buenos Aires,BA,6840,AR
386,1382,Rosario,Santa Fe,SF,2161,AR
387,1383,Mar del Plata,Buenos Aires,BA,4777,AR
388,1384,Villa Carlos Paz,Córdoba,CBA,7396,AR
389,1385,CABA,Buenos Aires,BA,9482,AR
390,1386,Mar del Plata,Buenos Aires,BA,8716,AR
391,1387,Córdoba,Córdoba,CBA,6481,AR
392,1388,Mar del Plata,Buenos Aires,BA,9086,AR
393,1389,Rafaela,Santa Fe,SF,2159,AR
394,1390,Río Cuarto,Córdoba,CBA,5432,AR
395,1391,La Plata,Buenos Aires,BA,8069,AR
396,1392,CABA,Buenos Aires,BA,9752,AR
397,1393,Río Cuarto,Córdoba,CBA,7342,AR
398,1394,Villa Carlos Paz,Córdoba,CBA,8175,AR
399,1395,Santa Fe,Santa Fe,SF,1949,AR
400,1396,Mar del Plata,Buenos Aires,BA,1244,AR
401,1397,Rosario,Santa Fe,SF,5630,AR
402,1398,Mar del Plata,Buenos Aires,BA,8843,AR
403,1399,Córdoba,Córdoba,CBA,6848,AR
404,1400,La Plata,Buenos Aires,BA,9631,AR
405,1401,Mar del Plata,Buenos Aires,BA,7731,AR
406,1402,CABA,Buenos Aires,BA,4453,AR
407,1403,CABA,Buenos Aires,BA,8434,AR
408,1404,CABA,Buenos Aires,BA,5921,AR
409,1405,Mar del Plata,Buenos Aires,BA,7302,AR
410,1406,CABA,Buenos Aires,BA,9724,AR
411,1407,Córdoba,Córdoba,CBA,5301,AR
412,1408,Santa Fe,Santa Fe,SF,2789,AR
413,1409,Mar del Plata,Buenos Aires,BA,9501,AR
414,1410,La Plata,Buenos Aires,BA,1248,AR
415,1411,Santa Fe,Santa Fe,SF,6530,AR
416,1412,La Plata,Buenos Aires,BA,1202,AR
417,1413,Mar del Plata,Buenos Aires,BA,8581,AR
418,1414,La Plata,Buenos Aires,BA,7694,AR
419,1415,Córdoba,Córdoba,CBA,2049,AR
420,1416,La Plata,Buenos Aires,BA,3858,AR
421,1417,Rafaela,Santa Fe,SF,4018,AR
422,1418,Rafaela,Santa Fe,SF,1996,AR
423,1419,Mendoza,Mendoza,MZA,4845,AR
424,1420,Mar del Plata,Buenos Aires,BA,4882,AR
425,1421,La Plata,Buenos Aires,BA,5638,AR
426,1422,Mar del Plata,Buenos Aires,BA,8711,AR
427,1423,Córdoba,Córdoba,CBA,1418,AR
428,1424,Villa Carlos Paz,Córdoba,CBA,4520,AR
429,1425,Rosario,Santa Fe,SF,2266,AR
430,1426,Río Cuarto,Córdoba,CBA,9646,AR
431,1427,Río Cuarto,Córdoba,CBA,5410,AR
432,1428,Santa Fe,Santa Fe,SF,4782,AR
433,1429,CABA,Buenos Aires,BA,6929,AR
434,1430,Mar del Plata,Buenos Aires,BA,4774,AR
435,1431,Rosario,Santa Fe,SF,7678,AR
436,1432,Villa Carlos Paz,Córdoba,CBA,7692,AR
437,1433,CABA,Buenos Aires,BA,3947,AR
438,1434,CABA,Buenos Aires,BA,2654,AR
439,1435,Santa Fe,Santa Fe,SF,3168,AR
440,1436,Santa Fe,Santa Fe,SF,4955,AR
441,1437,La Plata,Buenos Aires,BA,1741,AR
442,1438,Villa Carlos Paz,Córdoba,CBA,8138,AR
443,1439,Rafaela,Santa Fe,SF,3494,AR
444,1440,Villa Carlos Paz,Córdoba,CBA,3895,AR
445,1441,Villa Carlos Paz,Córdoba,CBA,6588,AR
446,1442,Río Cuarto,Córdoba,CBA,6288,AR
447,1443,CABA,Buenos Aires,BA,8053,AR
448,1444,Mar del Plata,Buenos Aires,BA,3713,AR
449,1445,La Plata,Buenos Aires,BA,5250,AR
450,1446,San Rafael,Mendoza,MZA,9334,AR
451,1447,CABA,Buenos Aires,BA,9001,AR
452,1448,La Plata,Buenos Aires,BA,9534,AR
453,1449,Santa Fe,Santa Fe,SF,8281,AR
454,1450,CABA,Buenos Aires,BA,6795,AR
455,1451,Córdoba,Córdoba,CBA,5523,AR
456,1452,Río Cuarto,Córdoba,CBA,1628,AR
457,1453,Mar del Plata,Buenos Aires,BA,1130,AR
458,1454,La Plata,Buenos Aires,BA,8702,AR
459,1455,CABA,Buenos Aires,BA,2453,AR
460,1456,Rafaela,Santa Fe,SF,9039,AR
461,1457,Río Cuarto,Córdoba,CBA,7230,AR
462,1458,Villa Carlos Paz,Córdoba,CBA,4799,AR
463,1459,Villa Carlos Paz,Córdoba,CBA,5840,AR
464,1460,La Plata,Buenos Aires,BA,7960,AR
465,1461,La Plata,Buenos Aires,BA,3098,AR
466,1462,Santa Fe,Santa Fe,SF,1474,AR
467,1463,CABA,Buenos Aires,BA,5286,AR
468,1464,La Plata,Buenos Aires,BA,5396,AR
469,1465,Villa Carlos Paz,Córdoba,CBA,4625,AR
470,1466,Mar del Plata,Buenos Aires,BA,3117,AR
471,1467,Mar del Plata,Buenos Aires,BA,6778,AR
472,1468,CABA,Buenos Aires,BA,3572,AR
473,1469,Mar del Plata,Buenos Aires,BA,6431,AR
474,1470,Mar del Plata,Buenos Aires,BA,9627,AR
475,1471,La Plata,Buenos Aires,BA,1397,AR
476,1472,Río Cuarto,Córdoba,CBA,7190,AR
477,1473,Mar del Plata,Buenos Aires,BA,9265,AR
478,1474,Mar del Plata,Buenos Aires,BA,7408,AR
479,1475,Santa Fe,Santa Fe,SF,5950,AR
480,1476,CABA,Buenos Aires,BA,7169,AR
481,1477,CABA,Buenos Aires,BA,5659,AR
482,1478,La Plata,Buenos Aires,BA,7106,AR
483,1479,Villa Carlos Paz,Córdoba,CBA,4802,AR
484,1480,Mar del Plata,Buenos Aires,BA,3355,AR
485,1481,CABA,Buenos Aires,BA,2374,AR
486,1482,La Plata,Buenos Aires,BA,1965,AR
487,1483,La Plata,Buenos Aires,BA,7660,AR
488,1484,CABA,Buenos Aires,BA,6128,AR
489,1485,Mar del Plata,Buenos Aires,BA,2721,AR
490,1486,Villa Carlos Paz,Córdoba,CBA,3722,AR
491,1487,CABA,Buenos Aires,BA,9594,AR
492,1488,Mar del Plata,Buenos Aires,BA,2926,AR
493,1489,San Rafael,Mendoza,MZA,3718,AR
494,1490,Mar del Plata,Buenos Aires,BA,9509,AR
495,1491,CABA,Buenos Aires,BA,3690,AR
496,1492,Villa Carlos Paz,Córdoba,CBA,3463,AR
497,1493,CABA,Buenos Aires,BA,2537,AR
498,1494,CABA,Buenos Aires,BA,2093,AR
