order_bk,paid_date_sk,status,payment_method,amount,transaction_ref
1000000383,328.0,PAID,,51455.25,TX-09HKD6K7RMNZ
1000000384,527.0,PAID,,42688.8,TX-IG7T92ZX195O
1000000385,134.0,PAID,,91294.5,TX-B0U2HVMBN4HZ
1000000386,299.0,PAID,,17242.5,TX-2DCPGANL816L
1000000387,455.0,PAID,,44760.0,TX-71SD6QK06HOI
1000000388,156.0,PAID,,53835.0,TX-SKI19UR8NZJE
1000000389,127.0,PAID,,12414.6,TX-2AGIF4ST5TVG
1000000390,77.0,PAID,,19957.5,TX-TAHQBBU55DVA
1000000391,39.0,REFUNDED,,17235.0,TX-8ZPLCL4J7RB6
1000000392,229.0,PAID,,35574.0,TX-INXS8RHVV5AA
1000000393,81.0,PAID,,14229.6,TX-OA3AU16N4SYZ
1000000394,578.0,PAID,,47454.75,TX-VTVOAV41B8E9
1000000395,154.0,PAID,,44823.24,TX-5J8UR63NYIR1
1000000396,227.0,PAID,,58045.8,TX-BW69ZMQ9P7EQ
1000000397,553.0,PAID,,15420.0,TX-NM6HXG0QGGBU
1000000398,89.0,REFUNDED,,80188.8,TX-EC4NNZ49NQ3N
1000000399,278.0,PAID,,57354.0,TX-T4LMAG75TO3E
1000000400,438.0,PAID,,15246.0,TX-8R60T3I6KDPR
1000000401,544.0,PAID,,49005.0,TX-BMR81MZAP796
1000000402,355.0,PAID,,44324.4,TX-VQFN0IZH88RB
1000000403,351.0,PAID,,55650.0,TX-3WUQAYGI0P0H
1000000404,438.0,PAID,,46076.4,TX-E3LM75Q7GX2S
1000000405,233.0,PAID,,80198.4,TX-K83GSGCHYB7T
1000000406,238.0,PAID,,51727.5,TX-ORJGRU9TD57R
1000000407,,FAILED,,31036.5,
1000000408,318.0,PAID,,38252.7,TX-QOYJSAZIDRCT
1000000409,,FAILED,,39204.0,
1000000410,568.0,PAID,,42688.8,TX-IBZRBYKR9J94
1000000411,315.0,PAID,,47754.75,TX-AO1WXLCIU4BM
1000000412,326.0,PAID,,28459.2,TX-UYJMIC97SZPL
1000000413,,FAILED,,29040.0,
1000000414,500.0,PAID,,48634.5,TX-A4S38KRDFV37
1000000415,487.0,PAID,,17787.0,TX-MB5OQNRSHFCA
1000000416,,FAILED,,39131.4,
1000000417,91.0,PAID,,31944.0,TX-XGCNAYKYNQVS
1000000418,181.0,REFUNDED,,47364.0,TX-G5T3LZ8VNBZ4
1000000419,84.0,PAID,,79436.1,TX-H7YDH9ZLPVBB
1000000420,346.0,PAID,,13794.0,TX-9V2XX0ZE5NHC
1000000421,246.0,PAID,,40404.0,TX-6H7TNVOKEYNJ
