session_bk,customer_sk,channel_sk,started_date_sk,ended_date_sk,device,is_ended
11000000073,80.0,,618,618.0,mobile,1
11000000074,,,75,,mobile,0
11000000075,859.0,,342,342.0,mobile,1
11000000076,,,444,444.0,mobile,1
11000000077,,,247,,desktop,0
11000000078,233.0,,51,51.0,mobile,1
11000000079,1176.0,,50,51.0,desktop,1
11000000080,,,570,570.0,mobile,1
11000000081,,,554,554.0,desktop,1
11000000082,181.0,,268,268.0,mobile,1
11000000083,1064.0,,97,97.0,mobile,1
11000000084,166.0,,525,525.0,mobile,1
11000000085,1230.0,,152,152.0,mobile,1
11000000086,,,113,113.0,tablet,1
11000000087,747.0,,20,20.0,mobile,1
11000000088,927.0,,1,1.0,tablet,1
11000000089,1009.0,,395,395.0,mobile,1
11000000090,1334.0,,514,,mobile,0
11000000091,51.0,,273,273.0,desktop,1
11000000092,1436.0,,295,295.0,mobile,1
11000000093,859.0,,386,386.0,desktop,1
11000000094,1298.0,,266,266.0,mobile,1
11000000095,51.0,,336,336.0,mobile,1
11000000096,885.0,,276,276.0,mobile,1
11000000097,505.0,,169,169.0,mobile,1
11000000098,,,34,34.0,mobile,1
11000000099,1.0,,42,42.0,mobile,1
11000000100,781.0,,364,364.0,desktop,1
11000000101,540.0,,88,88.0,mobile,1
11000000102,,,442,442.0,mobile,1
11000000103,,,554,554.0,mobile,1
11000000104,,,587,,desktop,0
11000000105,,,451,451.0,mobile,1
11000000106,718.0,,82,82.0,mobile,1
11000000107,,,522,522.0,mobile,1
11000000108,937.0,,419,419.0,mobile,1
11000000109,855.0,,352,352.0,mobile,1
11000000110,1396.0,,409,409.0,mobile,1
11000000111,465.0,,598,598.0,mobile,1
11000000112,,,465,465.0,mobile,1
11000000113,,,449,449.0,mobile,1
11000000114,,,100,100.0,tablet,1
11000000115,785.0,,189,189.0,desktop,1
11000000116,49.0,,450,450.0,desktop,1
11000000117,725.0,,63,63.0,desktop,1
11000000118,647.0,,280,280.0,mobile,1
11000000119,1014.0,,548,548.0,mobile,1
11000000120,892.0,,480,480.0,mobile,1
11000000121,130.0,,399,399.0,mobile,1
11000000122,633.0,,146,146.0,desktop,1
11000000123,,,8,8.0,desktop,1
11000000124,532.0,,363,,mobile,0
11000000125,997.0,,335,335.0,desktop,1
11000000126,11.0,,592,592.0,mobile,1
11000000127,,,181,181.0,mobile,1
11000000128,1331.0,,32,32.0,mobile,1
11000000129,,,229,229.0,mobile,1
11000000130,1084.0,,59,59.0,mobile,1
11000000131,1201.0,,638,638.0,mobile,1
11000000132,,,490,,desktop,0
11000000133,367.0,,599,599.0,mobile,1
11000000134,710.0,,64,64.0,mobile,1
11000000135,,,368,368.0,mobile,1
11000000136,1389.0,,25,25.0,desktop,1
11000000137,,,630,630.0,mobile,1
11000000138,1160.0,,161,161.0,desktop,1
11000000139,1252.0,,547,547.0,tablet,1
11000000140,,,51,51.0,desktop,1
11000000141,1438.0,,352,352.0,mobile,1
11000000142,670.0,,208,208.0,mobile,1
11000000143,,,102,102.0,desktop,1
11000000144,1207.0,,227,227.0,tablet,1
11000000145,1110.0,,323,323.0,tablet,1
11000000146,94.0,,150,150.0,desktop,1
11000000147,1158.0,,112,112.0,mobile,1
11000000148,,,436,436.0,mobile,1
11000000149,252.0,,416,416.0,mobile,1
11000000150,625.0,,79,79.0,desktop,1
11000000151,919.0,,134,134.0,desktop,1
11000000152,1053.0,,220,220.0,mobile,1
11000000153,1381.0,,300,300.0,desktop,1
11000000154,591.0,,510,510.0,mobile,1
11000000155,1452.0,,254,254.0,mobile,1
11000000156,864.0,,222,222.0,desktop,1
11000000157,744.0,,10,10.0,mobile,1
11000000158,653.0,,262,263.0,mobile,1
11000000159,974.0,,501,501.0,mobile,1
11000000160,,,315,315.0,mobile,1
11000000161,,,520,520.0,mobile,1
11000000162,,,109,109.0,mobile,1
11000000163,1105.0,,199,199.0,tablet,1
11000000164,1211.0,,616,616.0,desktop,1
11000000165,,,303,304.0,mobile,1
11000000166,,,403,403.0,desktop,1
11000000167,1017.0,,478,478.0,desktop,1
11000000168,267.0,,70,70.0,mobile,1
11000000169,1228.0,,416,416.0,desktop,1
11000000170,1121.0,,607,607.0,mobile,1
11000000171,,,613,613.0,desktop,1
11000000172,1380.0,,296,296.0,mobile,1
11000000173,,,71,71.0,mobile,1
11000000174,605.0,,211,211.0,mobile,1
11000000175,,,29,29.0,mobile,1
11000000176,1309.0,,600,600.0,desktop,1
11000000177,1393.0,,438,438.0,mobile,1
11000000178,331.0,,228,228.0,mobile,1
11000000179,1288.0,,346,346.0,mobile,1
11000000180,524.0,,572,572.0,mobile,1
11000000181,1374.0,,468,,mobile,0
11000000182,67.0,,496,496.0,desktop,1
11000000183,,,351,351.0,mobile,1
11000000184,662.0,,620,620.0,mobile,1
11000000185,1332.0,,624,624.0,mobile,1
11000000186,1163.0,,338,338.0,mobile,1
11000000187,665.0,,21,21.0,desktop,1
11000000188,1409.0,,427,427.0,mobile,1
11000000189,502.0,,524,524.0,mobile,1
11000000190,744.0,,572,572.0,desktop,1
11000000191,686.0,,207,207.0,desktop,1
11000000192,,,161,,mobile,0
11000000193,145.0,,161,161.0,desktop,1
11000000194,,,324,324.0,mobile,1
11000000195,865.0,,41,41.0,mobile,1
11000000196,,,349,,tablet,0
11000000197,1167.0,,20,20.0,mobile,1
11000000198,,,301,301.0,desktop,1
11000000199,,,348,348.0,mobile,1
11000000200,170.0,,497,497.0,desktop,1
11000000201,958.0,,99,99.0,mobile,1
11000000202,,,39,39.0,desktop,1
11000000203,541.0,,515,515.0,desktop,1
11000000204,119.0,,525,525.0,desktop,1
11000000205,228.0,,41,41.0,mobile,1
11000000206,1315.0,,189,189.0,desktop,1
11000000207,535.0,,24,24.0,mobile,1
11000000208,,,580,580.0,mobile,1
11000000209,601.0,,613,,desktop,0
11000000210,,,198,198.0,mobile,1
11000000211,1417.0,,517,517.0,mobile,1
11000000212,,,366,366.0,desktop,1
11000000213,436.0,,319,319.0,desktop,1
11000000214,706.0,,21,21.0,mobile,1
11000000215,951.0,,263,263.0,mobile,1
11000000216,1266.0,,110,110.0,mobile,1
11000000217,928.0,,598,598.0,desktop,1
11000000218,,,106,106.0,desktop,1
11000000219,1222.0,,251,251.0,mobile,1
11000000220,529.0,,112,112.0,mobile,1
11000000221,819.0,,608,608.0,mobile,1
11000000222,1148.0,,453,453.0,mobile,1
11000000223,,,259,259.0,mobile,1
11000000224,834.0,,108,108.0,mobile,1
11000000225,604.0,,275,275.0,desktop,1
11000000226,,,569,569.0,mobile,1
11000000227,293.0,,585,586.0,mobile,1
11000000228,1335.0,,623,623.0,desktop,1
11000000229,236.0,,431,431.0,mobile,1
11000000230,675.0,,235,235.0,desktop,1
11000000231,1493.0,,328,328.0,mobile,1
11000000232,,,435,435.0,mobile,1
11000000233,,,197,197.0,mobile,1
11000000234,448.0,,517,517.0,mobile,1
11000000235,,,173,173.0,mobile,1
11000000236,1444.0,,218,218.0,mobile,1
11000000237,22.0,,218,218.0,mobile,1
11000000238,1330.0,,405,405.0,mobile,1
11000000239,199.0,,553,553.0,desktop,1
11000000240,662.0,,51,51.0,desktop,1
11000000241,347.0,,461,461.0,tablet,1
11000000242,,,415,415.0,mobile,1
11000000243,1449.0,,84,84.0,mobile,1
11000000244,820.0,,78,78.0,mobile,1
11000000245,128.0,,584,584.0,mobile,1
11000000246,684.0,,154,154.0,mobile,1
11000000247,,,249,249.0,mobile,1
11000000248,740.0,,197,197.0,mobile,1
11000000249,,,392,392.0,mobile,1
11000000250,,,417,417.0,mobile,1
11000000251,,,279,279.0,mobile,1
11000000252,1107.0,,81,81.0,mobile,1
11000000253,,,439,439.0,mobile,1
11000000254,,,279,279.0,mobile,1
11000000255,,,28,28.0,mobile,1
11000000256,1013.0,,173,173.0,mobile,1
11000000257,,,456,456.0,mobile,1
11000000258,902.0,,4,4.0,mobile,1
11000000259,,,8,8.0,desktop,1
11000000260,745.0,,464,464.0,desktop,1
11000000261,1292.0,,86,86.0,desktop,1
11000000262,476.0,,199,199.0,tablet,1
11000000263,502.0,,509,509.0,mobile,1
11000000264,679.0,,247,,desktop,0
11000000265,,,512,,mobile,0
11000000266,,,39,39.0,desktop,1
11000000267,,,326,326.0,mobile,1
11000000268,1027.0,,168,168.0,mobile,1
11000000269,365.0,,600,600.0,mobile,1
11000000270,128.0,,380,380.0,mobile,1
11000000271,855.0,,410,410.0,mobile,1
11000000272,,,255,255.0,mobile,1
11000000273,112.0,,247,247.0,mobile,1
11000000274,57.0,,506,506.0,desktop,1
11000000275,1231.0,,598,598.0,mobile,1
11000000276,221.0,,520,520.0,mobile,1
11000000277,835.0,,163,163.0,mobile,1
11000000278,,,605,605.0,mobile,1
11000000279,990.0,,13,13.0,desktop,1
11000000280,1177.0,,25,25.0,desktop,1
11000000281,514.0,,439,439.0,mobile,1
11000000282,182.0,,370,370.0,mobile,1
11000000283,1023.0,,69,69.0,desktop,1
11000000284,358.0,,369,369.0,desktop,1
11000000285,1317.0,,228,228.0,tablet,1
11000000286,,,128,128.0,tablet,1
11000000287,,,574,574.0,mobile,1
11000000288,,,196,196.0,mobile,1
11000000289,,,170,170.0,mobile,1
11000000290,540.0,,420,420.0,mobile,1
11000000291,,,514,514.0,mobile,1
11000000292,,,368,368.0,mobile,1
11000000293,,,28,28.0,desktop,1
11000000294,235.0,,332,332.0,mobile,1
11000000295,,,188,,mobile,0
11000000296,1467.0,,77,77.0,mobile,1
11000000297,1370.0,,460,460.0,mobile,1
11000000298,1319.0,,286,286.0,mobile,1
11000000299,483.0,,44,44.0,desktop,1
11000000300,,,368,,mobile,0
11000000301,,,161,161.0,desktop,1
11000000302,,,543,543.0,mobile,1
11000000303,448.0,,15,15.0,desktop,1
11000000304,814.0,,94,94.0,desktop,1
11000000305,205.0,,344,344.0,desktop,1
11000000306,873.0,,164,164.0,desktop,1
11000000307,,,46,46.0,mobile,1
11000000308,,,524,,mobile,0
11000000309,730.0,,438,438.0,mobile,1
11000000310,458.0,,277,277.0,mobile,1
11000000311,1357.0,,402,402.0,mobile,1
11000000312,,,563,563.0,mobile,1
11000000313,,,149,149.0,desktop,1
11000000314,,,26,26.0,mobile,1
11000000315,,,144,144.0,desktop,1
11000000316,1480.0,,62,,desktop,0
11000000317,,,582,582.0,mobile,1
11000000318,,,397,397.0,tablet,1
11000000319,1336.0,,625,625.0,mobile,1
11000000320,301.0,,197,197.0,mobile,1
11000000321,307.0,,590,590.0,mobile,1
11000000322,,,91,91.0,mobile,1
11000000323,633.0,,3,3.0,desktop,1
11000000324,,,183,183.0,mobile,1
11000000325,,,317,,mobile,0
11000000326,1315.0,,74,74.0,mobile,1
11000000327,593.0,,186,186.0,mobile,1
11000000328,176.0,,550,550.0,desktop,1
11000000329,1182.0,,579,579.0,mobile,1
11000000330,,,334,334.0,mobile,1
11000000331,564.0,,516,516.0,mobile,1
11000000332,249.0,,574,574.0,desktop,1
11000000333,,,431,431.0,mobile,1
11000000334,,,486,486.0,desktop,1
11000000335,945.0,,332,332.0,mobile,1
11000000336,1433.0,,200,200.0,desktop,1
11000000337,315.0,,341,341.0,mobile,1
11000000338,422.0,,151,151.0,mobile,1
11000000339,1297.0,,289,289.0,desktop,1
11000000340,1475.0,,166,166.0,desktop,1
11000000341,,,146,146.0,mobile,1
11000000342,319.0,,525,,desktop,0
11000000343,839.0,,190,190.0,mobile,1
11000000344,,,439,439.0,mobile,1
11000000345,,,112,112.0,mobile,1
11000000346,,,429,429.0,desktop,1
11000000347,994.0,,625,625.0,mobile,1
11000000348,,,535,535.0,mobile,1
11000000349,579.0,,160,160.0,mobile,1
11000000350,,,387,387.0,desktop,1
11000000351,588.0,,621,621.0,tablet,1
11000000352,,,122,122.0,desktop,1
11000000353,,,286,286.0,desktop,1
11000000354,,,437,437.0,desktop,1
11000000355,373.0,,75,75.0,desktop,1
11000000356,,,523,523.0,mobile,1
11000000357,,,492,492.0,desktop,1
11000000358,823.0,,481,481.0,mobile,1
11000000359,266.0,,474,474.0,mobile,1
11000000360,1406.0,,493,493.0,tablet,1
11000000361,,,221,221.0,desktop,1
11000000362,234.0,,223,,mobile,0
11000000363,1261.0,,385,385.0,desktop,1
11000000364,521.0,,619,619.0,mobile,1
11000000365,150.0,,191,191.0,mobile,1
11000000366,1340.0,,429,429.0,mobile,1
11000000367,,,35,35.0,mobile,1
11000000368,1249.0,,494,494.0,desktop,1
11000000369,539.0,,298,298.0,mobile,1
11000000370,,,70,70.0,desktop,1
11000000371,,,605,605.0,desktop,1
11000000372,1175.0,,335,335.0,mobile,1
11000000373,,,593,593.0,mobile,1
11000000374,908.0,,457,457.0,mobile,1
11000000375,,,369,369.0,mobile,1
11000000376,726.0,,563,563.0,desktop,1
11000000377,922.0,,189,189.0,tablet,1
11000000378,1053.0,,226,226.0,mobile,1
11000000379,,,204,204.0,mobile,1
11000000380,,,501,501.0,mobile,1
11000000381,256.0,,374,374.0,desktop,1
11000000382,1005.0,,91,91.0,mobile,1
11000000383,982.0,,554,554.0,desktop,1
11000000384,1338.0,,356,356.0,desktop,1
11000000385,710.0,,425,425.0,mobile,1
11000000386,789.0,,130,130.0,mobile,1
11000000387,,,235,235.0,mobile,1
11000000388,1409.0,,230,,desktop,0
11000000389,660.0,,255,255.0,desktop,1
11000000390,1483.0,,104,104.0,desktop,1
11000000391,504.0,,402,402.0,mobile,1
11000000392,,,283,283.0,desktop,1
11000000393,,,566,566.0,mobile,1
11000000394,656.0,,225,225.0,mobile,1
11000000395,,,634,,desktop,0
11000000396,1459.0,,309,309.0,mobile,1
11000000397,,,106,106.0,mobile,1
11000000398,,,177,177.0,desktop,1
11000000399,133.0,,430,430.0,desktop,1
11000000400,1248.0,,60,,tablet,0
11000000401,,,107,107.0,mobile,1
11000000402,389.0,,190,190.0,desktop,1
11000000403,508.0,,119,119.0,mobile,1
11000000404,1403.0,,201,201.0,mobile,1
11000000405,,,513,513.0,mobile,1
11000000406,,,605,605.0,mobile,1
11000000407,354.0,,591,591.0,mobile,1
11000000408,1493.0,,215,215.0,mobile,1
11000000409,,,369,369.0,mobile,1
11000000410,381.0,,263,263.0,mobile,1
11000000411,229.0,,218,218.0,mobile,1
11000000412,1377.0,,437,437.0,desktop,1
11000000413,,,227,227.0,mobile,1
11000000414,57.0,,98,98.0,mobile,1
11000000415,1353.0,,511,511.0,desktop,1
11000000416,,,121,121.0,tablet,1
11000000417,606.0,,77,77.0,desktop,1
11000000418,1290.0,,261,,mobile,0
11000000419,,,270,270.0,mobile,1
11000000420,577.0,,550,550.0,mobile,1
11000000421,1400.0,,531,531.0,mobile,1
11000000422,,,165,165.0,tablet,1
11000000423,760.0,,550,550.0,mobile,1
11000000424,227.0,,498,498.0,mobile,1
11000000425,577.0,,175,175.0,tablet,1
11000000426,,,450,451.0,mobile,1
11000000427,939.0,,547,547.0,mobile,1
11000000428,,,274,274.0,mobile,1
11000000429,546.0,,49,49.0,mobile,1
11000000430,,,635,635.0,mobile,1
11000000431,1064.0,,605,605.0,mobile,1
11000000432,1032.0,,81,81.0,mobile,1
11000000433,1488.0,,49,49.0,mobile,1
11000000434,1140.0,,371,371.0,mobile,1
11000000435,1149.0,,268,268.0,mobile,1
11000000436,484.0,,345,345.0,mobile,1
11000000437,676.0,,631,631.0,desktop,1
11000000438,131.0,,585,,mobile,0
11000000439,863.0,,279,279.0,desktop,1
11000000440,828.0,,382,382.0,mobile,1
11000000441,951.0,,228,228.0,mobile,1
11000000442,907.0,,485,,mobile,0
11000000443,,,460,460.0,mobile,1
11000000444,669.0,,330,330.0,desktop,1
11000000445,,,71,71.0,desktop,1
11000000446,141.0,,460,460.0,mobile,1
11000000447,574.0,,419,419.0,mobile,1
11000000448,975.0,,470,470.0,mobile,1
11000000449,,,112,112.0,desktop,1
11000000450,1042.0,,253,253.0,mobile,1
11000000451,397.0,,537,537.0,mobile,1
11000000452,1301.0,,173,173.0,mobile,1
11000000453,730.0,,283,283.0,mobile,1
11000000454,,,401,401.0,mobile,1
11000000455,478.0,,307,307.0,mobile,1
11000000456,270.0,,158,158.0,desktop,1
11000000457,,,284,284.0,desktop,1
11000000458,,,148,148.0,mobile,1
11000000459,749.0,,169,169.0,mobile,1
11000000460,,,258,258.0,mobile,1
11000000461,,,223,223.0,mobile,1
11000000462,,,454,454.0,mobile,1
11000000463,947.0,,115,115.0,mobile,1
11000000464,,,208,208.0,mobile,1
11000000465,829.0,,592,592.0,mobile,1
11000000466,6.0,,639,639.0,mobile,1
11000000467,231.0,,538,538.0,mobile,1
11000000468,,,409,409.0,mobile,1
11000000469,1473.0,,418,418.0,mobile,1
11000000470,845.0,,444,444.0,mobile,1
11000000471,456.0,,51,51.0,mobile,1
11000000472,,,510,510.0,desktop,1
11000000473,417.0,,632,632.0,mobile,1
11000000474,202.0,,497,497.0,mobile,1
11000000475,78.0,,447,447.0,mobile,1
11000000476,,,315,315.0,mobile,1
11000000477,,,193,,desktop,0
11000000478,1060.0,,473,473.0,mobile,1
11000000479,663.0,,142,142.0,mobile,1
11000000480,176.0,,223,223.0,desktop,1
11000000481,,,110,110.0,desktop,1
11000000482,1243.0,,262,262.0,mobile,1
11000000483,,,98,98.0,mobile,1
11000000484,1458.0,,450,,mobile,0
11000000485,408.0,,494,494.0,mobile,1
11000000486,1301.0,,399,399.0,mobile,1
11000000487,,,291,291.0,mobile,1
11000000488,809.0,,569,569.0,desktop,1
11000000489,,,486,486.0,desktop,1
11000000490,,,189,190.0,desktop,1
11000000491,970.0,,254,254.0,desktop,1
11000000492,398.0,,597,597.0,desktop,1
11000000493,792.0,,280,,mobile,0
11000000494,1330.0,,160,160.0,desktop,1
11000000495,1487.0,,469,469.0,mobile,1
11000000496,853.0,,534,534.0,desktop,1
11000000497,108.0,,516,516.0,mobile,1
11000000498,,,95,95.0,mobile,1
11000000499,,,195,195.0,mobile,1
11000000500,,,594,594.0,mobile,1
11000000501,,,231,231.0,mobile,1
11000000502,1155.0,,332,332.0,mobile,1
11000000503,1071.0,,425,,mobile,0
11000000504,,,479,479.0,mobile,1
11000000505,,,591,591.0,tablet,1
11000000506,125.0,,370,370.0,desktop,1
11000000507,1210.0,,214,214.0,desktop,1
11000000508,,,510,510.0,desktop,1
11000000509,1438.0,,353,353.0,mobile,1
11000000510,72.0,,220,220.0,mobile,1
11000000511,1398.0,,118,118.0,desktop,1
11000000512,,,299,299.0,mobile,1
11000000513,,,473,473.0,mobile,1
11000000514,1250.0,,396,396.0,mobile,1
11000000515,1368.0,,556,556.0,mobile,1
11000000516,,,126,126.0,mobile,1
11000000517,4.0,,291,291.0,tablet,1
11000000518,,,219,219.0,desktop,1
11000000519,,,462,462.0,desktop,1
11000000520,1156.0,,105,105.0,desktop,1
11000000521,624.0,,179,179.0,mobile,1
11000000522,603.0,,163,163.0,desktop,1
11000000523,,,445,445.0,desktop,1
11000000524,592.0,,542,542.0,desktop,1
11000000525,213.0,,81,,mobile,0
11000000526,,,300,300.0,mobile,1
11000000527,622.0,,43,43.0,tablet,1
11000000528,973.0,,593,594.0,mobile,1
11000000529,,,352,352.0,mobile,1
11000000530,629.0,,492,492.0,mobile,1
11000000531,,,363,363.0,desktop,1
11000000532,942.0,,492,492.0,mobile,1
11000000533,520.0,,1,1.0,desktop,1
11000000534,690.0,,605,605.0,desktop,1
11000000535,585.0,,220,220.0,mobile,1
11000000536,1403.0,,134,134.0,tablet,1
11000000537,,,530,530.0,mobile,1
11000000538,,,637,637.0,mobile,1
11000000539,,,94,94.0,desktop,1
11000000540,570.0,,329,330.0,desktop,1
11000000541,1213.0,,48,48.0,mobile,1
11000000542,101.0,,259,259.0,mobile,1
11000000543,280.0,,38,39.0,desktop,1
11000000544,980.0,,208,208.0,desktop,1
11000000545,,,599,599.0,desktop,1
11000000546,1121.0,,202,202.0,desktop,1
11000000547,1259.0,,351,351.0,mobile,1
11000000548,,,450,450.0,mobile,1
11000000549,1025.0,,256,256.0,desktop,1
11000000550,1050.0,,195,195.0,mobile,1
11000000551,,,25,25.0,desktop,1
11000000552,168.0,,317,317.0,desktop,1
11000000553,,,6,6.0,desktop,1
11000000554,1144.0,,244,244.0,desktop,1
11000000555,,,590,590.0,mobile,1
11000000556,,,503,503.0,mobile,1
11000000557,156.0,,389,389.0,mobile,1
11000000558,829.0,,130,130.0,mobile,1
11000000559,659.0,,636,636.0,mobile,1
11000000560,1054.0,,253,253.0,mobile,1
11000000561,1380.0,,431,431.0,mobile,1
11000000562,1450.0,,623,623.0,mobile,1
11000000563,1379.0,,580,580.0,tablet,1
11000000564,,,232,232.0,mobile,1
11000000565,,,262,262.0,desktop,1
11000000566,1295.0,,355,,mobile,0
11000000567,302.0,,206,206.0,tablet,1
11000000568,167.0,,330,330.0,mobile,1
11000000569,612.0,,172,172.0,mobile,1
11000000570,514.0,,377,377.0,mobile,1
11000000571,864.0,,224,224.0,mobile,1
11000000572,547.0,,409,410.0,desktop,1
11000000573,680.0,,533,533.0,mobile,1
11000000574,434.0,,214,214.0,mobile,1
11000000575,807.0,,113,113.0,desktop,1
11000000576,,,387,387.0,mobile,1
11000000577,684.0,,115,115.0,mobile,1
11000000578,3.0,,365,365.0,desktop,1
11000000579,207.0,,288,288.0,mobile,1
11000000580,824.0,,132,132.0,mobile,1
11000000581,764.0,,261,261.0,desktop,1
11000000582,953.0,,357,357.0,mobile,1
11000000583,,,136,136.0,mobile,1
11000000584,677.0,,52,52.0,mobile,1
11000000585,,,545,545.0,mobile,1
11000000586,,,356,356.0,mobile,1
11000000587,20.0,,151,151.0,mobile,1
11000000588,671.0,,166,166.0,mobile,1
11000000589,897.0,,282,282.0,mobile,1
11000000590,1288.0,,407,,desktop,0
11000000591,,,580,,desktop,0
11000000592,138.0,,37,37.0,mobile,1
11000000593,493.0,,43,43.0,mobile,1
11000000594,1296.0,,574,574.0,desktop,1
11000000595,882.0,,391,391.0,mobile,1
11000000596,,,81,81.0,mobile,1
11000000597,,,73,73.0,tablet,1
11000000598,506.0,,324,324.0,mobile,1
11000000599,184.0,,475,475.0,mobile,1
11000000600,743.0,,150,150.0,desktop,1
11000000601,,,342,,desktop,0
11000000602,1361.0,,150,150.0,desktop,1
11000000603,,,448,448.0,mobile,1
11000000604,1228.0,,210,,mobile,0
11000000605,1088.0,,137,137.0,desktop,1
11000000606,1085.0,,104,104.0,mobile,1
11000000607,151.0,,364,364.0,desktop,1
11000000608,,,32,32.0,desktop,1
11000000609,,,350,350.0,mobile,1
11000000610,827.0,,510,510.0,desktop,1
11000000611,431.0,,618,618.0,mobile,1
11000000612,,,122,122.0,desktop,1
11000000613,910.0,,160,160.0,desktop,1
11000000614,,,404,404.0,mobile,1
11000000615,922.0,,527,527.0,mobile,1
11000000616,,,479,479.0,mobile,1
11000000617,,,216,216.0,desktop,1
11000000618,22.0,,153,153.0,desktop,1
11000000619,,,132,132.0,desktop,1
11000000620,630.0,,296,296.0,tablet,1
11000000621,10.0,,218,218.0,mobile,1
11000000622,91.0,,131,131.0,desktop,1
11000000623,1137.0,,249,249.0,mobile,1
11000000624,1276.0,,279,279.0,mobile,1
11000000625,,,40,,mobile,0
11000000626,282.0,,293,293.0,desktop,1
11000000627,1323.0,,448,448.0,mobile,1
11000000628,1345.0,,153,,mobile,0
11000000629,540.0,,192,192.0,mobile,1
11000000630,139.0,,232,232.0,desktop,1
11000000631,,,269,,desktop,0
11000000632,210.0,,320,320.0,mobile,1
11000000633,748.0,,408,408.0,mobile,1
11000000634,,,339,339.0,desktop,1
11000000635,1375.0,,191,191.0,mobile,1
11000000636,,,548,548.0,mobile,1
11000000637,,,99,99.0,desktop,1
11000000638,677.0,,37,37.0,mobile,1
11000000639,,,116,116.0,desktop,1
11000000640,1143.0,,514,514.0,mobile,1
11000000641,1302.0,,413,414.0,desktop,1
11000000642,715.0,,599,599.0,desktop,1
11000000643,762.0,,244,244.0,desktop,1
11000000644,,,436,436.0,mobile,1
11000000645,566.0,,63,63.0,desktop,1
11000000646,,,517,517.0,mobile,1
11000000647,1381.0,,143,143.0,mobile,1
11000000648,488.0,,164,164.0,desktop,1
11000000649,,,339,339.0,mobile,1
11000000650,681.0,,422,422.0,mobile,1
11000000651,989.0,,349,349.0,desktop,1
11000000652,1073.0,,521,521.0,mobile,1
11000000653,521.0,,182,182.0,desktop,1
11000000654,1124.0,,198,198.0,mobile,1
11000000655,1335.0,,384,384.0,mobile,1
11000000656,127.0,,277,277.0,mobile,1
11000000657,692.0,,620,620.0,mobile,1
11000000658,1325.0,,528,528.0,mobile,1
11000000659,613.0,,66,66.0,mobile,1
